#{"t_start": 1624598718.1383188, "env_id": null}
r,l,t
41.124313,201,677.389912
24.85881,201,677.389932
-34.357395,201,677.389952
56.39107,201,677.389972
39.05602,201,677.389993
87.54518,201,694.454675
15.656528,201,694.454766
51.099953,201,694.454793
82.257256,201,694.454816
36.75752,201,694.454838
94.0169,201,694.454859
28.886179,201,694.454879
2.7534978,201,694.4549
-21.925749,201,694.454921
-11.733653,201,694.454942
14.822203,201,694.454962
24.664516,201,694.454983
-13.927504,201,694.455003
56.176426,201,694.455024
37.397255,201,694.455045
6.5594716,201,694.455065
-2.4098747,201,694.455106
39.772114,201,694.455128
-27.150822,201,694.455149
-61.921597,201,694.455171
36.019505,201,710.899191
56.612644,201,710.899279
-23.246159,201,710.899307
-14.122573,201,710.89933
-26.882551,201,710.899352
-2.9100745,201,710.899372
56.87801,201,710.899393
4.4349084,201,710.899414
1.7880772,201,710.899434
188.32382,201,710.899453
-20.276836,201,710.899471
-1.8926393,201,710.899487
3.7598996,201,710.899504
-37.363113,201,710.899521
0.46502092,201,710.899538
19.000416,201,710.899556
91.53971,201,710.899572
-12.485143,201,710.899589
68.490265,201,710.899606
-13.231972,201,710.899622
8.111511,201,727.050783
11.13634,201,727.05087
2.6626656,201,727.050896
-57.851994,201,727.050917
29.789146,201,727.050938
86.49823,201,727.050958
22.524881,201,727.050977
41.08704,201,727.050996
-59.80758,201,727.051016
82.02755,201,727.051036
52.994537,201,727.051055
185.62091,201,727.051075
-0.12038832,201,727.051096
11.622029,201,727.051116
2.743084,201,727.051136
22.359453,201,727.051155
-20.749502,201,727.051176
121.85111,201,727.051195
-6.5945597,201,727.051215
-3.2058306,201,727.051235
28.611485,201,744.79783
-27.485859,201,744.797927
135.12695,201,744.797954
85.286865,201,744.797978
7.15082,201,744.797999
-9.365816,201,744.79802
67.15006,201,744.798041
-41.128487,201,744.798063
-9.13601,201,744.798083
31.904074,201,744.798102
55.229767,201,744.798122
174.4813,201,744.798142
81.705734,201,744.798161
30.190527,201,744.798181
1.6711105,201,744.7982
138.45403,201,744.79822
34.719795,201,744.798242
49.389156,201,744.798262
22.980793,201,744.798282
9.578922,201,744.798334
3.0257602,201,761.684556
6.8268332,201,761.684659
-10.660377,201,761.684684
28.176582,201,761.684705
-75.71446,201,761.684726
106.39269,201,761.684745
70.407135,201,761.684765
-5.553495,201,761.684784
7.788361,201,761.684803
15.831532,201,761.684822
-54.87342,201,761.684842
-8.976536,201,761.684862
84.825294,201,761.684882
69.212326,201,761.684902
4.068824,201,761.684922
-25.170835,201,761.684943
-23.931759,201,761.684962
155.2038,201,761.684982
45.00557,201,761.685001
16.911776,201,761.68502
94.704796,201,778.704467
10.1620455,201,778.70456
77.56313,201,778.704577
93.550186,201,778.704592
21.793243,201,778.704605
-10.390132,201,778.704617
1.7554858,201,778.704631
-1.888917,201,778.704644
118.07044,201,778.704656
12.029736,201,778.704669
-34.3861,201,778.704681
-1.6693448,201,778.704693
95.43062,201,778.704706
72.97531,201,778.704718
17.984148,201,778.704731
39.173855,201,778.704743
-1.4516951,201,778.704755
41.071182,201,778.704767
16.134495,201,778.70478
31.17606,201,778.704793
30.449844,201,796.66355
-25.962742,201,796.663623
-51.440983,201,796.66364
5.3123074,201,796.663653
99.94288,201,796.663666
38.245735,201,796.663678
35.198257,201,796.663691
-115.557686,201,796.663703
69.108696,201,796.663718
-6.249811,201,796.663735
98.10322,201,796.663752
34.892544,201,796.663764
71.65622,201,796.663777
51.96237,201,796.663789
46.971004,201,796.6638
10.471983,201,796.663813
22.349295,201,796.663825
-22.054905,201,796.663837
-32.593754,201,796.66385
123.70212,201,796.663863
21.58652,201,813.791993
39.303246,201,813.792064
36.158535,201,813.792082
81.83302,201,813.792096
-42.754913,201,813.792109
