#{"t_start": 1625370268.7300088, "env_id": null}
r,l,t
76.483382,700,11998.408616
-107.672481,700,12025.037596
8.036401,700,12052.180581
81.405077,700,12079.770515
59.730375,700,12106.701963
36.776444,700,12134.024671
43.582417,700,12161.666806
165.544498,700,12189.779075
28.188927,700,12217.588301
129.173031,700,12245.797532
109.514996,700,12273.986115
-8.148588,700,12300.885858
-91.779033,700,12328.670667
-37.443195,700,12356.181456
2.418904,700,12383.49718
143.342049,700,12411.193974
-104.319479,700,12439.18532
31.097891,700,12467.292405
72.59397,700,12494.130678
1.379853,700,12520.502315
28.759166,700,12547.001673
-14.984273,700,12574.016164
-115.60633,700,12600.727371
64.039859,700,12627.265221
55.735419,700,12654.607672
-4.706118,700,12683.511113
-95.340517,700,12710.736383
-9.227354,700,12738.881276
16.784637,700,12766.332664
8.966795,700,12794.237344
-24.155773,700,12820.960108
28.853021,700,12847.958537
57.597088,700,12874.568835
25.993314,700,12900.952782
20.913286,700,12928.89619
43.284652,700,12956.945109
44.956234,700,12985.306198
-109.48193,700,13013.396971
-31.754832,700,13041.360489
39.011963,700,13067.935817
35.497691,700,13096.488161
6.075121,700,13123.438271
-37.871855,700,13151.05159
14.007005,700,13178.538607
-3.318125,700,13207.361379
50.12553,700,13235.784894
-29.913212,700,13262.724442
-19.669887,700,13289.584459
4.969848,700,13316.455123
3.661171,700,13344.44336
19.826451,700,13372.512881
67.331219,700,13399.809098
6.961473,700,13427.466061
-9.040452,700,13455.569422
-113.112811,700,13482.898121
42.045511,700,13510.619411
-119.128807,700,13538.235322
34.219102,700,13565.383684
20.73943,700,13592.618012
40.35604,700,13619.242303
39.069951,700,13647.421322
90.374812,700,13676.091211
66.392746,700,13702.735772
8.199616,700,13730.775261
31.037202,700,13758.676214
26.252129,700,13786.399815
33.933529,700,13814.255896
68.196474,700,13842.182876
-9.956482,700,13870.638887
6.13082,700,13898.801633
37.565357,700,13926.074394
44.060489,700,13952.964347
34.070833,700,13980.822625
-93.349672,700,14008.952957
7.176152,700,14036.953641
27.335135,700,14065.865091
66.546664,700,14092.979012
50.895286,700,14119.819925
-101.415217,700,14146.322443
26.744903,700,14172.821399
-12.329611,700,14199.503017
27.646726,700,14226.18502
-21.178187,700,14252.858116
35.555609,700,14279.006885
33.165357,700,14305.831962
-123.01788,700,14332.570572
74.42274,700,14359.618687
26.181516,700,14386.207486
-99.03593,700,14412.502227
-18.000392,700,14438.743975
36.256324,700,14466.04485
29.836608,700,14493.204938
-0.483832,700,14520.12738
-106.734925,700,14546.678697
-18.103497,700,14572.872352
36.413681,700,14599.638616
106.22731,700,14627.272276
83.081566,700,14654.800644
48.978083,700,14681.925078
16.220431,700,14708.912409
32.192415,700,14735.242591
-96.352954,700,14762.123725
-115.786047,700,14788.50425
-121.571122,700,14815.820058
93.921746,700,14843.778007
26.683151,700,14870.622657
5.058786,700,14897.427629
43.90363,700,14923.694578
57.340509,700,14950.105561
13.30943,700,14977.373675
-89.169051,700,15003.909857
-3.498064,700,15030.8128
36.716381,700,15057.719584
-109.62578,700,15085.017519
143.31264,700,15111.196851
31.232098,700,15138.190377
88.941169,700,15164.861477
31.255495,700,15191.740281
37.08076,700,15218.400814
-22.590718,700,15245.213782
-143.431342,700,15271.761844
-22.510648,700,15298.347139
34.279834,700,15325.726303
3.98377,700,15352.09393
3.34388,700,15378.750852
71.723102,700,15405.853515
27.1323,700,15433.00232
50.488688,700,15459.362223
-39.197931,700,15485.760521
39.236062,700,15512.683279
-94.486512,700,15539.794784
79.184278,700,15566.476265
29.615883,700,15593.495192
50.96068,700,15620.032894
60.907384,700,15647.323599
30.147627,700,15673.897514
37.544295,700,15700.98226
-107.543035,700,15727.79985
16.121079,700,15754.558461
0.947024,700,15780.915431
32.624039,700,15807.605353
-93.568496,700,15834.587173
132.103239,700,15861.434565
12.247815,700,15888.332208
-9.218839,700,15915.219929
31.877395,700,15942.805782
-36.827832,700,15969.414826
147.363596,700,15996.060762
-93.72696,700,16022.365978
-24.512855,700,16049.773961
-120.138773,700,16076.962899
103.718791,700,16103.792559
43.972548,700,16132.208275
55.399898,700,16158.808171
-7.465906,700,16186.646439
34.481074,700,16215.203028
-2.278653,700,16243.118691
-27.751669,700,16270.819906
18.121888,700,16298.700558
21.911212,700,16326.528342
-6.501314,700,16354.546327
46.45627,700,16382.182271
-3.049389,700,16409.818448
105.248069,700,16437.378664
-3.17014,700,16465.776455
83.048071,700,16493.466604
46.301165,700,16522.218865
138.267768,700,16550.112749
111.450707,700,16576.579053
111.758482,700,16603.550692
23.077194,700,16630.045157
4.103574,700,16656.505204
40.45185,700,16683.328678
0.812137,700,16710.713251
-14.204875,700,16737.568728
128.978862,700,16764.179723
51.505497,700,16791.237113
37.088185,700,16817.933614
32.256996,700,16845.818111
45.335678,700,16873.498085
-2.781654,700,16900.074839
56.830437,700,16927.713396
68.688096,700,16955.362768
43.549708,700,16981.933164
-93.411362,700,17009.462401
37.143541,700,17036.530196
39.616973,700,17063.488132
59.957538,700,17091.148072
49.690351,700,17117.971142
61.146991,700,17144.833473
-1.801627,700,17171.759757
-13.925192,700,17199.077677
47.469878,700,17226.667212
0.071378,700,17255.09183
-24.477591,700,17282.803958
26.638753,700,17310.462415
42.692555,700,17338.022343
144.68007,700,17366.147991
-38.894103,700,17393.837546
41.14161,700,17421.884016
88.119864,700,17449.602126
-104.832471,700,17477.366225
17.276354,700,17505.791229
-17.441906,700,17533.670388
60.832304,700,17561.050611
69.240871,700,17588.847779
72.404753,700,17616.93781
24.694092,700,17644.383978
82.030371,700,17671.238038
34.188506,700,17697.752928
69.486019,700,17725.000346
-19.457021,700,17752.355513
37.92757,700,17779.825324
18.075319,700,17807.924624
82.349423,700,17835.216448
-122.86723,700,17863.297801
62.308349,700,17891.050904
88.57947,700,17918.5975
-107.425272,700,17945.883056
44.48549,700,17974.013965
36.27256,700,18001.906333
18.252619,700,18029.355598
-93.313052,700,18056.830751
30.486297,700,18084.093574
34.348737,700,18112.179081
38.155063,700,18139.85515
-95.58864,700,18167.327611
22.220305,700,18195.294801
36.966633,700,18223.636239
12.405721,700,18252.203312
40.672213,700,18280.543608
10.18477,700,18308.422558
11.587238,700,18336.531436
57.587108,700,18364.469808
39.925087,700,18392.642873
-27.021979,700,18420.374325
6.287608,700,18447.925805
44.05956,700,18476.439008
-18.369064,700,18504.681466
72.231448,700,18532.172286
-85.802268,700,18559.488237
185.786286,700,18587.790226
10.408806,700,18615.237244
28.292297,700,18643.073124
51.995889,700,18670.976747
171.192487,700,18698.583915
82.839255,700,18726.467889
50.677094,700,18754.556698
2.623584,700,18783.121932
203.152744,700,18810.994019
32.002449,700,18838.902358
-92.012379,700,18866.775628
79.637305,700,18894.392945
-108.931162,700,18921.906609
10.821788,700,18949.596996
76.355433,700,18977.334452
34.32976,700,19004.186251
-29.378039,700,19030.876735
